Gene,Cluster
ENSG00000273295,1
ENSG00000218537,1
ENSG00000162994,2
ENSG00000203327,2
ENSG00000226002,3
ENSG00000230521,4
ENSG00000285799,4
ENSG00000234719,5
ENSG00000282458,6
ENSG00000181404,7
ENSG00000226210,8
ENSG00000171916,9
ENSG00000273018,9
ENSG00000154874,10
ENSG00000273837,11
ENSG00000254415,11
ENSG00000280355,12
ENSG00000224886,12
ENSG00000225484,12
ENSG00000196526,13
ENSG00000185899,14
ENSG00000229153,14
ENSG00000234066,14
ENSG00000125551,15
ENSG00000183281,16
ENSG00000230021,17
ENSG00000230489,18
ENSG00000280027,19
ENSG00000279741,19
ENSG00000261804,19
ENSG00000262714,19
ENSG00000099994,20
ENSG00000100197,21
ENSG00000214425,22
ENSG00000214401,22
ENSG00000105472,23
ENSG00000157227,24
ENSG00000130529,25
ENSG00000213279,26
ENSG00000235111,26
ENSG00000286579,27
ENSG00000160201,28
ENSG00000275895,28
ENSG00000100427,29
ENSG00000196139,30
ENSG00000002933,31
ENSG00000106565,31
ENSG00000185829,32
ENSG00000205583,33
ENSG00000201367,34
ENSG00000225907,35
ENSG00000186522,36
ENSG00000198142,36
ENSG00000186318,37
ENSG00000154447,38
ENSG00000100003,39
ENSG00000234456,40
ENSG00000248810,41
ENSG00000250189,41
ENSG00000248527,42
ENSG00000198938,42
ENSG00000225630,42
ENSG00000198899,42
ENSG00000228253,42
ENSG00000212907,42
ENSG00000198840,42
ENSG00000198804,42
ENSG00000198786,42
ENSG00000198712,42
ENSG00000198763,42
ENSG00000198886,42
ENSG00000198727,42
ENSG00000198888,42
ENSG00000237973,43
ENSG00000165480,44
ENSG00000109674,44
ENSG00000230006,44
ENSG00000100479,44
ENSG00000226608,45
ENSG00000087086,45
ENSG00000125534,45
ENSG00000235169,46
ENSG00000135821,47
ENSG00000256020,47
ENSG00000276168,48
ENSG00000178719,48
ENSG00000263740,48
ENSG00000265735,48
ENSG00000128487,49
ENSG00000152484,49
ENSG00000166169,49
ENSG00000274070,49
ENSG00000168785,49
ENSG00000244734,49
ENSG00000103342,49
ENSG00000103257,49
ENSG00000184792,49
ENSG00000136732,49
ENSG00000204323,49
ENSG00000103148,49
ENSG00000102760,49
ENSG00000102575,49
ENSG00000136819,49
ENSG00000102145,49
ENSG00000101782,49
ENSG00000185630,49
ENSG00000204010,49
ENSG00000136840,49
ENSG00000184481,49
ENSG00000135924,49
ENSG00000142453,49
ENSG00000104522,49
ENSG00000170271,49
ENSG00000106327,49
ENSG00000221983,49
ENSG00000169877,49
ENSG00000152078,49
ENSG00000163554,49
ENSG00000105701,49
ENSG00000204613,49
ENSG00000105610,49
ENSG00000136842,49
ENSG00000135070,49
ENSG00000135451,49
ENSG00000105371,49
ENSG00000105281,49
ENSG00000204463,49
ENSG00000104904,49
ENSG00000104903,49
ENSG00000104892,49
ENSG00000104765,49
ENSG00000253341,49
ENSG00000253982,49
ENSG00000183508,49
ENSG00000153574,49
ENSG00000136929,49
ENSG00000166793,49
ENSG00000095932,49
ENSG00000167768,49
ENSG00000167705,49
ENSG00000090674,49
ENSG00000167671,49
ENSG00000090238,49
ENSG00000090013,49
ENSG00000088992,49
ENSG00000162873,49
ENSG00000162722,49
ENSG00000138867,49
ENSG00000139354,49
ENSG00000187902,49
ENSG00000086506,49
ENSG00000166947,49
ENSG00000086232,49
ENSG00000082146,49
ENSG00000198959,49
ENSG00000186591,49
ENSG00000167815,49
ENSG00000099785,49
ENSG00000099804,49
ENSG00000153814,49
ENSG00000230615,49
ENSG00000100558,49
ENSG00000137193,49
ENSG00000137198,49
ENSG00000137216,49
ENSG00000154122,49
ENSG00000137266,49
ENSG00000100325,49
ENSG00000136908,49
ENSG00000137267,49
ENSG00000250361,49
ENSG00000245552,49
ENSG00000100104,49
ENSG00000168159,49
ENSG00000141469,49
ENSG00000167994,49
ENSG00000167992,49
ENSG00000236320,49
ENSG00000141084,49
ENSG00000100225,49
ENSG00000107262,49
ENSG00000170315,49
ENSG00000142949,49
ENSG00000121691,49
ENSG00000175931,49
ENSG00000130821,49
ENSG00000121104,49
ENSG00000240583,49
ENSG00000146535,49
ENSG00000119950,49
ENSG00000177666,49
ENSG00000130830,49
ENSG00000171840,49
ENSG00000119636,49
ENSG00000119326,49
ENSG00000178297,49
ENSG00000143776,49
ENSG00000256269,49
ENSG00000118777,49
ENSG00000143774,49
ENSG00000118689,49
ENSG00000131981,49
ENSG00000122644,49
ENSG00000260592,49
ENSG00000233276,49
