Patient,Cluster
HC22,3
HC41,3
HC43,3
HC44,3
HC47,3
HC49,3
HC59,3
HC76,3
HC85,3
HC86,3
HC94,3
HC98,3
HC99,3
HC100,3
HC107,3
HC108,3
HC109,3
HC113,3
HC114,3
HC115,3
HC116,3
HC117,3
HC118,3
HC119,3
HC120,3
HC121,3
HC122,3
HC123,3
HC124,3
HC125,3
HC126,3
HC127,3
HC128,3
HC129,3
HC130,3
HC131,3
HC132,3
HC133,3
HC134,3
HC135,3
HC136,3
HC137,3
HC138,3
HC139,3
HC140,3
HC141,3
HC142,3
HC143,3
HC144,3
HC145,3
HC146,3
HC147,3
HC148,3
HC149,3
HC150,3
HC151,3
HC152,3
HC154,3
HC155,3
HC156,3
HC157,3
HC158,3
HC159,3
HC160,3
HC161,3
HC162,3
HC163,3
HC046,3
HC105,3
HC110,3
nCWES001,2
nCWES006,2
nCWES007,4
nCWES008,2
nCWES009,2
nCWES010,2
nCWES012,2
nCWES013,2
nCWES015,1
nCWES018,2
nCWES026,0
nCWES029,1
nCWES040,1
nCWES044,1
nCWES052,1
nCWES057,2
nCWES058,1
nCWES061,2
nWES005,2
nCNE001,0
nCNE005,2
nCNE010,1
nCNE011,1
nCNE012,2
nCRPE001,1
nCMEL020,1
nCMEL022,0
nCMEL023,4
nCMEL024,4
nCMEL025,1
nCMEL026,0
nCMEL027,2
nCMEL028,4
nCMEL029,4
nCCZ001,2
nCCZ002,1
nCCZ003,2
nCCZ004,3
nCCZ005,2
nCCZ006,0
nCCZ007,1
nCCZ008,4
nCCZ009,2
nCCZ010,4
nCCZ011,0
nCCZ012,2
nCCZ014,4
nCCZ015,0
nCCZ016,1
nCCZ017,0
nCCZ018,4
nCCZ019,4
nCCZ020,4
nCCZ021,1
nCCZ022,2
nCCZ023,3
nCCZ024,1
nCCZ025,0
nCCZ026,0
nCCZ027,0
nCCZ028,2
nCCZ029,2
nCCZ030,0
nCCZ031,2
nCCZ032,3
nCCZ033,1
nCCZ035,3
nCCZ036,2
nCCZ037,1
nCCZ038,0
nCCZ039,0
nCCZ040,0
nCCZ041,0
nCCZ042,4
nCCZ043,0
nCCZ044,0
nCCZ045,0
nCCZ046,4
nCCZ047,4
nCCZ048,4
nCCZ049,0
nCCZ050,0
nCCZ051,0
nCCZ052,0
nCCZ053,0
nCCZ055,0
nCCZ056,4
nCIDN020,2
nCIDN049,1
nCIDN077,2
nCSG002,2
nCNE068,4
nCNE084,0
nCNE098,0
nCNE099,4
nCNE124,4
nCFR066,0
nCFR069,0
nCFR073,0
nCFR075,0
nCFR076,4
nCFR077,0
nCFR078,0
nCFR079,0
nCFR081,0
nCFR013,1
nCFR021,2
nCFR025,1
nCIDN003,0
nCIDN006,3
nCIDN007,2
nCIDN019,2
nCIDN024,2
nCIDN027,3
nCIDN034,0
nCIDN053,1
nCIDN054,1
nCIDN055,3
nCIDN062,3
nCIDN072,2
nCIDN075,0
nCSG001,1
nCNE044,2
nCNE046,4
nCNE048,2
nCNE050,4
nCNE052,0
nCNE055,1
nCNE056,1
nCNE057,4
nCNE058,2
nCNE060,2
nCNE061,2
nCNE062,1
nCNE064,1
nCNE065,1
nCNE066,4
nCNE069,1
nCNE070,2
nCNE072,2
nCNE073,1
nCNE074,1
nCNE075,2
nCNE076,2
nCNE077,2
nCNE078,4
nCNE079,4
nCNE081,4
nCNE082,1
nCNE083,4
nCNE086,2
nCNE087,1
nCNE089,1
nCNE091,4
nCNE093,4
nCNE094,4
nCNE096,0
nCNE102,2
nCNE110,1
nCNE117,4
nCNE121,1
nCNE122,4
nCNE127,1
nCFR001,1
nCFR002,1
nCFR003,3
nCFR012,0
nCFR014,4
nCFR015,0
nCFR017,0
nCFR018,1
nCFR022,3
nCFR023,1
nCFR027,3
nCIDN001,0
nCIDN014,0
nCNE106,1
nCNE109,2
nCNE113,1
nCNE118,2
