Patient,Cluster
HC22,0
HC41,4
HC43,4
HC44,0
HC47,4
HC49,4
HC59,4
HC76,4
HC85,0
HC86,0
HC94,0
HC98,0
HC99,4
HC100,0
HC107,4
HC108,4
HC109,4
HC113,0
HC114,4
HC115,4
HC116,4
HC117,4
HC118,4
HC119,4
HC120,4
HC121,4
HC122,0
HC123,4
HC124,4
HC125,0
HC126,0
HC127,0
HC128,4
HC129,4
HC130,0
HC131,4
HC132,4
HC133,0
HC134,4
HC135,4
HC136,0
HC137,4
HC138,0
HC139,0
HC140,0
HC141,4
HC142,0
HC143,4
HC144,4
HC145,0
HC146,4
HC147,4
HC148,4
HC149,4
HC150,0
HC151,0
HC152,4
HC154,0
HC155,4
HC156,4
HC157,4
HC158,0
HC159,0
HC160,4
HC161,4
HC162,0
HC163,0
HC046,4
HC105,0
HC110,0
nCWES001,0
nCWES006,3
nCWES007,2
nCWES008,3
nCWES009,3
nCWES010,0
nCWES012,3
nCWES013,3
nCWES015,3
nCWES018,3
nCWES026,1
nCWES029,3
nCWES040,3
nCWES044,3
nCWES052,3
nCWES057,3
nCWES058,3
nCWES061,3
nWES005,3
nCNE001,1
nCNE005,3
nCNE010,2
nCNE011,2
nCNE012,3
nCRPE001,2
nCMEL020,2
nCMEL022,1
nCMEL023,2
nCMEL024,2
nCMEL025,3
nCMEL026,2
nCMEL027,3
nCMEL028,2
nCMEL029,4
nCCZ001,0
nCCZ002,3
nCCZ003,0
nCCZ004,4
nCCZ005,0
nCCZ006,1
nCCZ007,3
nCCZ008,4
nCCZ009,0
nCCZ010,0
nCCZ011,2
nCCZ012,3
nCCZ014,2
nCCZ015,1
nCCZ016,2
nCCZ017,1
nCCZ018,3
nCCZ019,3
nCCZ020,3
nCCZ021,3
nCCZ022,0
nCCZ023,4
nCCZ024,3
nCCZ025,2
nCCZ026,1
nCCZ027,1
nCCZ028,3
nCCZ029,3
nCCZ030,1
nCCZ031,3
nCCZ032,0
nCCZ033,3
nCCZ035,0
nCCZ036,0
nCCZ037,2
nCCZ038,1
nCCZ039,1
nCCZ040,1
nCCZ041,1
nCCZ042,1
nCCZ043,1
nCCZ044,1
nCCZ045,1
nCCZ046,2
nCCZ047,1
nCCZ048,2
nCCZ049,1
nCCZ050,1
nCCZ051,1
nCCZ052,1
nCCZ053,1
nCCZ055,1
nCCZ056,1
nCIDN020,0
nCIDN049,3
nCIDN077,0
nCSG002,3
nCNE068,2
nCNE084,1
nCNE098,2
nCNE099,2
nCNE124,2
nCFR066,1
nCFR069,2
nCFR073,1
nCFR075,1
nCFR076,2
nCFR077,1
nCFR078,1
nCFR079,2
nCFR081,1
nCFR013,2
nCFR021,3
nCFR025,2
nCIDN003,1
nCIDN006,0
nCIDN007,0
nCIDN019,0
nCIDN024,0
nCIDN027,0
nCIDN034,1
nCIDN053,2
nCIDN054,3
nCIDN055,4
nCIDN062,4
nCIDN072,0
nCIDN075,1
nCSG001,3
nCNE044,3
nCNE046,1
nCNE048,0
nCNE050,2
nCNE052,1
nCNE055,3
nCNE056,3
nCNE057,2
nCNE058,0
nCNE060,3
nCNE061,3
nCNE062,2
nCNE064,3
nCNE065,2
nCNE066,2
nCNE069,3
nCNE070,3
nCNE072,3
nCNE073,3
nCNE074,2
nCNE075,3
nCNE076,3
nCNE077,3
nCNE078,2
nCNE079,1
nCNE081,2
nCNE082,3
nCNE083,2
nCNE086,3
nCNE087,2
nCNE089,2
nCNE091,2
nCNE093,2
nCNE094,1
nCNE096,1
nCNE102,0
nCNE110,3
nCNE117,2
nCNE121,3
nCNE122,4
nCNE127,3
nCFR001,3
nCFR002,2
nCFR003,0
nCFR012,1
nCFR014,0
nCFR015,1
nCFR017,2
nCFR018,2
nCFR022,0
nCFR023,2
nCFR027,4
nCIDN001,1
nCIDN014,1
nCNE106,3
nCNE109,0
nCNE113,2
nCNE118,0
