gene,log2FoldChange,pval,padj,-log10(padj)
ENSG00000287080,2.8275957285009508,1.6105882191387738e-53,6.007494057387626e-50,49.2213066501279
ENSG00000274641,2.3838426109748094,2.972455614958851e-52,5.5436297218982566e-49,48.256205785450135
ENSG00000273983,3.1403439802329274,3.0767776364869036e-51,3.825460194698717e-48,47.41731631266816
ENSG00000278463,2.6545845709878764,9.300067334000663e-49,8.672312788955618e-46,45.061865066591245
ENSG00000274997,2.5251924065833795,3.624484918036214e-48,2.7038657488550156e-45,44.56801487559242
ENSG00000165949,6.193895238124663,1.4276098357741695e-47,8.874974479062753e-45,44.051832887131255
ENSG00000171848,2.5434199310709946,4.642927685524137e-47,2.4740171810007187e-44,43.60659728870532
ENSG00000127564,1.9400054589546807,7.7466706944915e-47,3.611885211306661e-44,43.442266060376326
ENSG00000277775,2.3293615596307666,1.0460748578266952e-46,4.3353991329928587e-44,43.362970913579495
ENSG00000111206,2.3123160265924705,2.5715904127433e-46,9.592032239532509e-44,43.01808937021076
ENSG00000276368,2.6903126782244957,2.4186616161691932e-45,8.201461662100992e-43,42.08610874088271
ENSG00000167513,2.2094241386138527,4.6142621812543745e-45,1.4342664946732349e-42,41.84337014684599
ENSG00000123485,2.357268990172311,8.728229057520833e-45,2.5043303372732855e-42,41.60130838544857
ENSG00000276903,2.1565065126915437,2.2446980939872135e-44,5.980517064694504e-42,41.22326126607248
ENSG00000197153,2.6813204079668043,3.2473432450383836e-44,8.075060202662114e-42,41.09285423115333
ENSG00000094804,1.9859951705897347,4.595753071126014e-44,1.0713849347062519e-41,40.97005446475796
ENSG00000274290,1.6400967847255619,1.223970845171085e-43,2.685536030875381e-41,40.57096901647583
ENSG00000275713,1.8104967230313291,1.9119912767813026e-43,3.962070812441255e-41,40.40207776676373
ENSG00000176890,2.5109001921537915,2.715810064261663e-43,5.331563968261054e-41,40.27314537574757
ENSG00000277157,1.6888774826021817,6.0759850941777915e-43,1.1331712200641582e-40,39.94570446408987
ENSG00000157456,2.167322010498185,7.368184668925723e-43,1.3087299435758546e-40,39.88314996087075
ENSG00000146670,2.273209939986505,9.156548653880966e-43,1.5524512035898185e-40,39.808982041614975
ENSG00000145386,1.6891927955662163,2.452389247274439e-42,3.977135605362459e-40,39.400429600953515
ENSG00000273703,2.588698466486676,3.338945600813563e-42,5.189277954597746e-40,39.2848930664577
ENSG00000140534,2.1919249644823484,2.8753696695932216e-40,4.2900515470330863e-38,37.3675374895268
ENSG00000184661,2.0745711968141407,4.9590955347032205e-40,7.114394747862697e-38,37.14786204130623
ENSG00000277224,1.5504996445919692,5.4136878356480025e-40,7.478909491469277e-38,37.126161722505046
