,geneSignificance
ENSG00000273295,-0.00670055778265162
ENSG00000218537,-0.016199544465583166
ENSG00000162994,0.17199274310916884
ENSG00000203327,0.13912841658794584
ENSG00000226002,0.012632315680401622
ENSG00000230521,-0.01361726840473107
ENSG00000285799,-0.028804236213237945
ENSG00000234719,0.08826634313893646
ENSG00000282458,-0.10683079377398108
ENSG00000181404,0.01073110328575025
ENSG00000226210,-0.04405979006841412
ENSG00000171916,0.19033030690882322
ENSG00000273018,0.2566699262664055
ENSG00000154874,0.15341723283061715
ENSG00000273837,-0.00857145026266171
ENSG00000254415,0.06560841889814352
ENSG00000280355,-0.1688767460135402
ENSG00000224886,-0.19497537535271212
ENSG00000225484,-0.1945771645800382
ENSG00000196526,-0.3146375196987976
ENSG00000185899,-0.12336331246738919
ENSG00000229153,-0.1260029191865765
ENSG00000234066,-0.12001099124423684
ENSG00000125551,0.03753066377581256
ENSG00000183281,-0.07141643177663066
ENSG00000230021,-0.05678758348222195
ENSG00000230489,0.052220640194719
ENSG00000280027,-0.05612524334433966
ENSG00000279741,-0.07248939364811981
ENSG00000261804,-0.07259305781886524
ENSG00000262714,-0.10178914280009016
ENSG00000099994,-0.169445026450057
ENSG00000100197,-0.024570219152307775
ENSG00000214425,0.09803371882640684
ENSG00000214401,-0.21684821673942825
ENSG00000105472,0.04089514450561495
ENSG00000157227,0.062055808905368076
ENSG00000130529,-0.0006556283266710324
ENSG00000213279,0.05937238845029208
ENSG00000235111,0.06049950109353638
ENSG00000286579,-0.0463122581433844
ENSG00000160201,0.058085688431265325
ENSG00000275895,-0.08460138572788573
ENSG00000100427,0.12649101954973416
ENSG00000196139,0.11123521042735787
ENSG00000002933,0.04983234202705039
ENSG00000106565,0.06925479579623704
ENSG00000185829,-0.11507105032834833
ENSG00000205583,-0.19628409634561955
ENSG00000201367,-0.1233303841117043
ENSG00000225907,-0.20532590810013251
ENSG00000186522,-0.09399088669169392
ENSG00000198142,-0.11573160414117327
ENSG00000186318,-0.08366916112037127
ENSG00000154447,-0.0046096023590449925
ENSG00000100003,-0.07776005149437494
ENSG00000234456,-0.05926108561290015
ENSG00000248810,-0.025722773108853916
ENSG00000250189,0.09171016485991626
ENSG00000248527,-0.1375969466524829
ENSG00000198938,-0.3127560332833144
ENSG00000225630,-0.028238939496780566
ENSG00000198899,-0.16956464557060624
ENSG00000228253,-0.16618663472542117
ENSG00000212907,-0.10244979656943431
ENSG00000198840,-0.17106070022365516
ENSG00000198804,-0.3169941377052509
ENSG00000198786,-0.1438927416189822
ENSG00000198712,-0.18436244187055334
ENSG00000198763,-0.13707505247454002
ENSG00000198886,-0.16098559531662887
ENSG00000198727,-0.3164866869648693
ENSG00000198888,-0.12159638713086929
ENSG00000237973,-0.16874633768120445
ENSG00000165480,0.0395490094946548
ENSG00000109674,-0.10027364961800933
ENSG00000230006,0.028209848233669753
ENSG00000100479,0.09149330618151255
ENSG00000226608,0.03462184260894046
ENSG00000087086,-0.0022740832242256846
ENSG00000125534,-0.08481122242992341
ENSG00000235169,-0.041200105129726564
ENSG00000135821,-0.2808675263255602
ENSG00000256020,-0.23409368703276898
ENSG00000276168,-0.12796592402192083
ENSG00000178719,-0.1495983212408723
ENSG00000263740,-0.1307824253452996
ENSG00000265735,-0.16825191122064184
ENSG00000128487,-0.25783100225002065
ENSG00000152484,-0.30101542562572
ENSG00000166169,-0.2671332895345222
ENSG00000274070,-0.37576971144346594
ENSG00000168785,-0.4258727430707899
ENSG00000244734,-0.2797156324237114
ENSG00000103342,-0.3913999284204647
ENSG00000103257,-0.1103442646303037
ENSG00000184792,-0.4270291409097019
ENSG00000136732,-0.32547047593413836
ENSG00000204323,-0.13500850489509364
ENSG00000103148,-0.1897012086753981
ENSG00000102760,-0.35039410271665483
ENSG00000102575,-0.07190003596647764
ENSG00000136819,-0.3141740896786466
ENSG00000102145,-0.3487608573022848
ENSG00000101782,-0.3759175706487913
ENSG00000185630,-0.2889087877724634
ENSG00000204010,-0.25663230663547376
ENSG00000136840,-0.15789608369614452
ENSG00000184481,-0.3328624433362415
ENSG00000135924,-0.2810428310879543
ENSG00000142453,-0.23987373688398678
ENSG00000104522,-0.2035218820586096
ENSG00000170271,-0.3329979917541839
ENSG00000106327,-0.19762483550309795
ENSG00000221983,-0.25003307919442896
ENSG00000169877,-0.19501440753739394
