,geneSigPvalue
ENSG00000273295,0.9160462319926654
ENSG00000218537,0.7988232207293923
ENSG00000162994,0.006407592958907482
ENSG00000203327,0.0278425999176877
ENSG00000226002,0.8424650364580952
ENSG00000230521,0.8303608186495122
ENSG00000285799,0.6503711825916862
ENSG00000234719,0.1641234720186612
ENSG00000282458,0.09189122685023432
ENSG00000181404,0.8659317954949731
ENSG00000226210,0.4880008198583258
ENSG00000171916,0.0025112948424109204
ENSG00000273018,4.008629319478179e-05
ENSG00000154874,0.01518344785433165
ENSG00000273837,0.8927306239941386
ENSG00000254415,0.30147517411969227
ENSG00000280355,0.0074497422786067805
ENSG00000224886,0.001953845538040312
ENSG00000225484,0.0019967828947017744
ENSG00000196526,3.783946565966621e-07
ENSG00000185899,0.05138889539972611
ENSG00000229153,0.04656496105780256
ENSG00000234066,0.05810766617316127
ENSG00000125551,0.5547575491968852
ENSG00000183281,0.26060133300545324
ENSG00000230021,0.3712617158092867
ENSG00000230489,0.4110177180759226
ENSG00000280027,0.376875755957983
ENSG00000279741,0.25348858484006664
ENSG00000261804,0.25280857428548753
ENSG00000262714,0.10837617688785049
ENSG00000099994,0.007249101595945787
ENSG00000100197,0.6990518245906397
ENSG00000214425,0.12210280783497783
ENSG00000214401,0.0005550837502838966
ENSG00000105472,0.5198103153312947
ENSG00000157227,0.3284635216486325
ENSG00000130529,0.9917704107120289
ENSG00000213279,0.3498500129968566
ENSG00000235111,0.3407623119248228
ENSG00000286579,0.4660123081456898
ENSG00000160201,0.36040945591935897
ENSG00000275895,0.18241591465853996
ENSG00000100427,0.04571580587527511
ENSG00000196139,0.07918740559451358
ENSG00000002933,0.4327718047296456
ENSG00000106565,0.27534461178359315
ENSG00000185829,0.0693162334962132
ENSG00000205583,0.0018185983792707255
ENSG00000201367,0.05145160348407592
ENSG00000225907,0.0010943498742782747
ENSG00000186522,0.13835061695713136
ENSG00000198142,0.0677223154475727
ENSG00000186318,0.18729988387502813
ENSG00000154447,0.9421886185053223
ENSG00000100003,0.22050414441571126
ENSG00000234456,0.35075564594642966
ENSG00000248810,0.6856675489717317
ENSG00000250189,0.14822022103905313
ENSG00000248527,0.029626251963770635
ENSG00000198938,4.4758593443079124e-07
ENSG00000225630,0.6567911235961812
ENSG00000198899,0.007207487343849125
ENSG00000228253,0.00846827349012957
ENSG00000212907,0.10609208132041682
ENSG00000198840,0.0067047363677559604
ENSG00000198804,3.061157212135241e-07
ENSG00000198786,0.02287013701435357
ENSG00000198712,0.0034386313575922134
ENSG00000198763,0.030255992730615106
ENSG00000198886,0.010793980980401898
ENSG00000198727,3.204613968014978e-07
ENSG00000198888,0.05484486358779922
ENSG00000237973,0.007496477615603344
ENSG00000165480,0.5336562103306898
ENSG00000109674,0.11376182216274205
ENSG00000230006,0.6571221936437942
